Date	airTmean	airTmax	airTmin	Radiation	VP	Veg	CO2
2015-12-10	-1.3	0.1	-3.2	NaN	5.3	0	400.782515625
2015-12-11	-4.5	0.2	-8.1	NaN	4.3	0	400.578953645833
2015-12-12	-6.5	-2.9	-9.5	NaN	3.6	0	401.343098791667
2015-12-13	-12.8	-7.4	-17.3	NaN	2.1	0	399.5446038125
2015-12-14	-16.2	-13.3	-18.7	NaN	1.5	0	399.167714583333
2015-12-15	-11.1	-7.4	-16.2	NaN	2.4	0	399.7646671875
2015-12-16	-5.2	0.4	-9.9	NaN	4.1	0	400.158446354167
2015-12-17	-2.2	-0.9	-6.6	NaN	5	0	403.0079038125
2015-12-18	-1.2	-0.6	-2	NaN	5.4	0	404.9352828125
2015-12-19	-0.4	1.5	-3.6	NaN	5.7	0	401.794786458333
2015-12-20	0	1.1	-0.7	NaN	5.9	0	403.113159020833
2015-12-21	0.2	3.5	-1.7	NaN	6	0	402.1304546875
2015-12-22	-1	2.9	-4.6	NaN	5.5	0	401.436490270833
2015-12-23	-3.4	-0.2	-8.4	NaN	4.7	0	403.187513541667
2015-12-24	-5.7	2.4	-9.2	NaN	4	0	402.489152604167
2015-12-25	0.9	2.8	-2.7	NaN	6.3	0	403.136662854167
2015-12-26	-6.1	0.6	-10.1	NaN	2.8	0	400.252083166667
2015-12-27	-10.4	-6.4	-12.8	NaN	2.5	0	399.8478165
2015-12-28	-12.5	-7.9	-14.4	NaN	2.1	0	400.253283333333
2015-12-29	-4.8	-2.6	-8.3	NaN	4.1	0	402.210834375
2015-12-30	-2.3	-0.1	-3.5	NaN	4.6	0	403.800710416667
2015-12-31	0.5	1.6	-0.2	NaN	5.7	0	405.135984895833
